,movie_id,movie_imdb_link,certificate,runtime_in_mins,genre,imdb_rating,number_of_votes,metascore,top_director,release_year,awards_link,awards_total,top_writer,top_star_1,top_star_2,top_star_3,num_user_reviews,num_critic_reviews,release_date,country_of_origin,top_production_company,budget_in_usd,opening_weekend_us_can_in_usd,gross_us_can_in_usd,gross_worldwide_in_usd,total_award_nominations,total_award_wins,primary_genre,secondary_genre,release_weekday,release_month,is_among_best_director,top_production_company_grouped,country_of_origin_grouped
77,tt13223398,https://www.imdb.com/title/tt13223398/?ref_=adv_li_tt,Adult,93.0,"Adventure, Drama, Horror",5.6,21089.0,54.0,Baltasar Kormákur,2022,https://www.imdb.com/title/tt13223398/awards/?ref_=tt_awd,0,Jaime Primak Sullivan,Liyabuya Gongo,Martin Munro,Daniel Hadebe,398.0,174.0,2022-09-02,United States,Other,36000000.0,11575855.0,31846530.0,56673530.0,0.0,0.0,Adventure,Drama,5,9.0,N,Other,United States
79,tt11703710,https://www.imdb.com/title/tt11703710/?ref_=adv_li_tt,Parental Guidance,124.0,"Drama, Romance",7.4,20140.0,63.0,Simon Curtis,2022,https://www.imdb.com/title/tt11703710/awards/?ref_=tt_awd,Showing all 0 wins and 2 nominations,Julian Fellowes,Hugh Bonneville,Jim Carter,Michelle Dockery,243.0,130.0,2022-04-29,United Kingdom,Other,40000000.0,16000495.0,43896550.0,92128123.0,2.0,0.0,Drama,Romance,5,4.0,N,Other,Other
81,tt10323676,https://www.imdb.com/title/tt10323676/?ref_=adv_li_tt,Adult,103.0,"Action, Thriller",5.8,19902.0,52.0,Tarik Saleh,2022,https://www.imdb.com/title/tt10323676/awards/?ref_=tt_awd,0,J.P. Davis,Chris Pine,Gillian Jacobs,Sander Thomas,271.0,84.0,2022-04-08,United States,30WEST,50000000.0,560678.0,1035265.0,2122288.0,0.0,0.0,Action,Thriller,5,4.0,N,Other,United States
84,tt14439896,https://www.imdb.com/title/tt14439896/?ref_=adv_li_tt,Adult,124.0,"Biography, Drama",6.5,18200.0,40.0,Rosalind Ross,2022,https://www.imdb.com/title/tt14439896/awards/?ref_=tt_awd,0,Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver,276.0,77.0,2022-04-15,United States,CJ Entertainment,4000000.0,5402642.0,20884796.0,21591034.0,0.0,0.0,Biography,Drama,5,4.0,N,Other,United States
89,tt14060094,https://www.imdb.com/title/tt14060094/?ref_=adv_li_tt,+13/14,104.0,"Action, Thriller",4.8,16790.0,27.0,Mark Williams,2022,https://www.imdb.com/title/tt14060094/awards/?ref_=tt_awd,0,Nick May,Liam Neeson,Aidan Quinn,Taylor John Smith,363.0,92.0,2022-02-10,United States,Zero Gravity Management,43000000.0,3502475.0,9591094.0,15902207.0,0.0,0.0,Action,Thriller,4,2.0,N,Other,United States
91,tt7466442,https://www.imdb.com/title/tt7466442/?ref_=adv_li_tt,+13/14,102.0,"Animation, Adventure, Comedy",7.0,16506.0,75.0,Loren Bouchard,2022,https://www.imdb.com/title/tt7466442/awards/?ref_=tt_awd,0,Loren Bouchard,H. Jon Benjamin,Kristen Schaal,Dan Mintz,231.0,93.0,,United States,Other,38000000.0,12416819.0,31933830.0,34148750.0,0.0,0.0,Animation,Adventure,5,4.0,N,Other,United States
95,tt1798632,https://www.imdb.com/title/tt1798632/?ref_=adv_li_tt,Adult,94.0,"Drama, Horror, Sci-Fi",4.6,15054.0,32.0,Keith Thomas,2022,https://www.imdb.com/title/tt1798632/awards/?ref_=tt_awd,0,Stephen King,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,427.0,175.0,2022-05-13,United States,Blumhouse Productions,12000000.0,3827715.0,9589250.0,14889250.0,0.0,0.0,Drama,Horror,5,5.0,N,Other,United States
97,tt14109724,https://www.imdb.com/title/tt14109724/?ref_=adv_li_tt,+13/14,104.0,"Comedy, Romance",6.3,14494.0,50.0,Ol Parker,2022,https://www.imdb.com/title/tt14109724/awards/?ref_=tt_awd,0,Ol Parker,George Clooney,Sean Lynch,Julia Roberts,152.0,136.0,2022-09-16,United States,Universal Pictures,60000000.0,16509095.0,40804120.0,129028673.0,0.0,0.0,Comedy,Romance,5,9.0,N,Universal Pictures,United States
98,tt15255876,https://www.imdb.com/title/tt15255876/?ref_=adv_li_tt,Adult,97.0,"Crime, Drama, Thriller",6.7,13998.0,75.0,John Patton Ford,2022,https://www.imdb.com/title/tt15255876/awards/?ref_=tt_awd,Showing all 4 wins and 2 nominations,John Patton Ford,Aubrey Plaza,Theo Rossi,Bernardo Badillo,131.0,116.0,2022-08-12,United States,Other,3000000.0,669161.0,2156296.0,2156296.0,2.0,4.0,Crime,Drama,5,8.0,N,Other,United States
103,tt10304142,https://www.imdb.com/title/tt10304142/?ref_=adv_li_tt,Adult,134.0,"Comedy, Drama, History",6.2,12990.0,48.0,David O. Russell,2022,https://www.imdb.com/title/tt10304142/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,David O. Russell,Christian Bale,Margot Robbie,John David Washington,204.0,146.0,2022-10-07,Japan,20th Century Studios,80000000.0,6444896.0,14726472.0,24338947.0,1.0,0.0,Comedy,Drama,5,10.0,Y,Other,Other
110,tt12873562,https://www.imdb.com/title/tt12873562/?ref_=adv_li_tt,+13/14,105.0,"Horror, Thriller",5.2,12159.0,45.0,Jessica M. Thompson,2022,https://www.imdb.com/title/tt12873562/awards/?ref_=tt_awd,0,Blair Butler,Nathalie Emmanuel,Thomas Doherty,Sean Pertwee,211.0,78.0,2022-09-02,United States,Screen Gems,10000000.0,6805468.0,25100080.0,33700080.0,0.0,0.0,Horror,Thriller,5,9.0,N,Other,United States
111,tt13640696,https://www.imdb.com/title/tt13640696/?ref_=adv_li_tt,+13/14,98.0,"Comedy, Mystery",6.7,11693.0,60.0,Tom George,2022,https://www.imdb.com/title/tt13640696/awards/?ref_=tt_awd,0,Mark Chappell,Kieran Hodgson,Pearl Chanda,Gregory Cox,154.0,146.0,2022-11-03,United States,Searchlight Pictures,40000000.0,3007657.0,9586237.0,21203668.0,0.0,0.0,Comedy,Other,4,11.0,N,Other,United States
129,tt9005184,https://www.imdb.com/title/tt9005184/?ref_=adv_li_tt,Adult,94.0,"Sci-Fi, Thriller",5.8,7853.0,62.0,Riley Stearns,2022,https://www.imdb.com/title/tt9005184/awards/?ref_=tt_awd,Showing all 0 wins and 4 nominations,Riley Stearns,Karen Gillan,Aaron Paul,Beulah Koale,156.0,120.0,2022-03-18,United States,XYZ Films,4500000.0,118254.0,185212.0,425909.0,4.0,0.0,Other,Other,5,3.0,N,Other,United States
130,tt5151570,https://www.imdb.com/title/tt5151570/?ref_=adv_li_tt,Parental Guidance,115.0,"Comedy, Drama",7.1,7622.0,70.0,Anthony Fabian,2022,https://www.imdb.com/title/tt5151570/awards/?ref_=tt_awd,0,Paul Gallico,Lesley Manville,Isabelle Huppert,Lambert Wilson,113.0,99.0,2022-07-15,United Kingdom,Moonriver Content,13000000.0,1953070.0,10433915.0,18981140.0,0.0,0.0,Comedy,Drama,5,7.0,N,Other,Other
217,tt14668630,https://www.imdb.com/title/tt14668630/?ref_=adv_li_tt,Parental Guidance,106.0,"Animation, Adventure, Comedy",6.4,1800.0,51.0,Josh Gordon,2022,https://www.imdb.com/title/tt14668630/awards/?ref_=tt_awd,0,Will Davies,Shawn Mendes,Javier Bardem,Constance Wu,52.0,44.0,2022-11-18,United States,Eagle Pictures,50000000.0,11401182.0,33956868.0,51956868.0,0.0,0.0,Animation,Adventure,5,11.0,N,Other,United States
