,Title,Winner,Award,Year
0,Belfast,N,Picture,2021
1,CODA,Y,Picture,2021
2,Don't Look Up,N,Picture,2021
3,Drive My Car,N,Picture,2021
4,Dune,N,Picture,2021
5,King Richard,N,Picture,2021
6,Licorice Pizza,N,Picture,2021
7,Nightmare Alley,N,Picture,2021
8,The Power of the Dog,N,Picture,2021
9,West Side Story,N,Picture,2021
10,Jessica Chastain,Y,Actress,2021
11,Olivia Colman,N,Actress,2021
12,Penélope Cruz,N,Actress,2021
13,Nicole Kidman,N,Actress,2021
14,Kristen Stewart,N,Actress,2021
15,Javier Bardem,N,Actor,2021
16,Benedict Cumberbatch,N,Actor,2021
17,Andrew Garfield,N,Actor,2021
18,Will Smith,Y,Actor,2021
19,Denzel Washington,N,Actor,2021
20,Ciarán Hinds,N,Supporting Actor,2021
21,Troy Kotsur,Y,Supporting Actor,2021
22,Jesse Plemons,N,Supporting Actor,2021
23,J.K. Simmons,N,Supporting Actor,2021
24,Kodi Smit-McPhee,N,Supporting Actor,2021
25,Jessie Buckley,N,Supporting Actress,2021
26,Ariana DeBose,Y,Supporting Actress,2021
27,Judi Dench,N,Supporting Actress,2021
28,Kirsten Dunst,N,Supporting Actress,2021
29,Aunjanue Ellis,N,Supporting Actress,2021
30,Nomadland,Y,Picture,2020
31,Judas and the Black Messiah,N,Picture,2020
32,Mank,N,Picture,2020
33,Minari,N,Picture,2020
34,Promising Young Woman,N,Picture,2020
35,Sound of Metal,N,Picture,2020
36,The Father,N,Picture,2020
37,The Trial of the Chicago 7,N,Picture,2020
38,Anthony Hopkins,Y,Actor,2020
39,Riz Ahmed,N,Actor,2020
40,Chadwick Boseman,N,Actor,2020
41,Gary Oldman,N,Actor,2020
42,Steven Yeun,N,Actor,2020
43,Frances McDormand,Y,Actress,2020
44,Viola Davis,N,Actress,2020
45,Andra Day,N,Actress,2020
46,Vanessa Kirby,N,Actress,2020
47,Carey Mulligan,N,Actress,2020
48,Daniel Kaluuya,Y,Supporting Actor,2020
49,Sacha Baron Cohen,N,Supporting Actor,2020
50,Leslie Odom Jr,N,Supporting Actor,2020
51,Paul Raci,N,Supporting Actor,2020
52,Lakeith Stanfield,N,Supporting Actor,2020
53,Youn Yuh-jang,Y,Supporting Actress,2020
54,Maria Bakalova,N,Supporting Actress,2020
55,Glenn Close,N,Supporting Actress,2020
56,Olivia Colman,N,Supporting Actress,2020
57,Amanda Seyfried,N,Supporting Actress,2020
58,Parasite,Y,Picture,2019
59,1917,N,Picture,2019
60,Ford v Ferrari,N,Picture,2019
61,Jojo Rabbit,N,Picture,2019
62,Joker,N,Picture,2019
63,Little Women,N,Picture,2019
64,Marriage Story,N,Picture,2019
65,Once Upon a Time in Hollywood,N,Picture,2019
66,The Irishman,N,Picture,2019
67,Joaquin Phoenix,Y,Actor,2019
68,Leonardo DiCaprio,N,Actor,2019
69,Adam Driver,N,Actor,2019
70,Antonio Banderas,N,Actor,2019
71,Jonathan Pryce,N,Actor,2019
72,Renee Zellweger,Y,Actress,2019
73,Cynthia Erivo,N,Actress,2019
74,Scarlett Johansson,N,Actress,2019
75,Saoirse Ronan,N,Actress,2019
76,Charlize Theron,N,Actress,2019
77,Brad Pitt,Y,Supporting Actor,2019
78,Tom Hanks,N,Supporting Actor,2019
79,Anthony Hopkins,N,Supporting Actor,2019
80,Al Pacino,N,Supporting Actor,2019
81,Joe Pesci,N,Supporting Actor,2019
82,Laura Dern,Y,Supporting Actress,2019
83,Kathy Bates,N,Supporting Actress,2019
84,Scarlett Johansson,N,Supporting Actress,2019
85,Florence Pugh,N,Supporting Actress,2019
86,Margot Robbie,N,Supporting Actress,2019
87,Green Book,Y,Picture,2018
88,A Star Is Born,N,Picture,2018
89,Black Panther,N,Picture,2018
90,BlacKkKlansman,N,Picture,2018
91,Bohemian Rhapsody,N,Picture,2018
92,Roma,N,Picture,2018
93,The Favourite,N,Picture,2018
94,Vice,N,Picture,2018
95,Rami Malek,Y,Actor,2018
96,Christian Bale,N,Actor,2018
97,Bradley Cooper,N,Actor,2018
98,Willem Dafoe,N,Actor,2018
99,Viggo Mortensen,N,Actor,2018
100,Olivia Colman,Y,Actress,2018
101,Yalitza Aparicio,N,Actress,2018
102,Glenn Close,N,Actress,2018
103,Lady Gaga,N,Actress,2018
104,Melissa McCarthy,N,Actress,2018
105,Mahershala Ali,Y,Supporting Actor,2018
106,Adam Driver,N,Supporting Actor,2018
107,Sam Elliott,N,Supporting Actor,2018
108,Richard E. Grant,N,Supporting Actor,2018
109,Sam Rockwell,N,Supporting Actor,2018
110,Regina King,Y,Supporting Actress,2018
111,Amy Adams,N,Supporting Actress,2018
112,Marina de Tavira,N,Supporting Actress,2018
113,Emma Stone,N,Supporting Actress,2018
114,Rachel Weisz,N,Supporting Actress,2018
115,The Shape of Water,Y,Picture,2017
116,Call Me by Your Name,N,Picture,2017
117,Darkest Hour,N,Picture,2017
118,Dunkirk,N,Picture,2017
119,Get Out,N,Picture,2017
120,Lady Bird,N,Picture,2017
121,Phantom Thread,N,Picture,2017
122,The Post,N,Picture,2017
123,"Three Billboards Outside Ebbing, Missouri",N,Picture,2017
124,Gary Oldman,Y,Actor,2017
125,Timothee Chalamet,N,Actor,2017
126,Daniel Day-Lewis,N,Actor,2017
127,Daniel Kaluuya,N,Actor,2017
128,Denzel Washington,N,Actor,2017
129,Frances McDormand,Y,Actress,2017
130,Sally Hawkins,N,Actress,2017
131,Margot Robbie,N,Actress,2017
132,Saoirse Ronan,N,Actress,2017
133,Meryl Streep,N,Actress,2017
134,Sam Rockwell,Y,Supporting Actor,2017
135,Willem Dafoe,N,Supporting Actor,2017
136,Woody Harrelson,N,Supporting Actor,2017
137,Richard Jenkins,N,Supporting Actor,2017
138,Christopher Plummer,N,Supporting Actor,2017
139,Allison Janney,Y,Supporting Actress,2017
140,Mary J. Blige,N,Supporting Actress,2017
141,Lesley Manville,N,Supporting Actress,2017
142,Laurie Metcalf,N,Supporting Actress,2017
143,Octavia Spencer,N,Supporting Actress,2017
144,Moonlight,Y,Picture,2016
145,Arrival,N,Picture,2016
146,Fences,N,Picture,2016
147,Hacksaw Ridge,N,Picture,2016
148,Hell or High Water,N,Picture,2016
149,Hidden Figures,N,Picture,2016
150,La La Land,N,Picture,2016
151,Lion,N,Picture,2016
152,Manchester by the Sea,N,Picture,2016
153,Casey Affleck,Y,Actor,2016
154,Andrew Garfield,N,Actor,2016
155,Ryan Gosling,N,Actor,2016
156,Viggo Mortensen,N,Actor,2016
157,Denzel Washington,N,Actor,2016
158,Emma Stone,Y,Actress,2016
159,Isabelle Huppert,N,Actress,2016
160,Ruth Negga,N,Actress,2016
161,Natalie Portman,N,Actress,2016
162,Meryl Streep,N,Actress,2016
163,Mahershala Ali,Y,Supporting Actor,2016
164,Jeff Bridges,N,Supporting Actor,2016
165,Lucas Hedges,N,Supporting Actor,2016
166,Dev Patel,N,Supporting Actor,2016
167,Michael Shannon,N,Supporting Actor,2016
168,Viola Davis,Y,Supporting Actress,2016
169,Naomie Harris,N,Supporting Actress,2016
170,Nicole Kidman,N,Supporting Actress,2016
171,Octavia Spencer,N,Supporting Actress,2016
172,Michelle Williams,N,Supporting Actress,2016
173,Spotlight,Y,Picture,2015
174,Bridge of Spies,N,Picture,2015
175,Brooklyn,N,Picture,2015
176,Mad Max: Fury Road,N,Picture,2015
177,Room,N,Picture,2015
178,The Big Short,N,Picture,2015
179,The Martian,N,Picture,2015
180,The Revenant,N,Picture,2015
181,Leonardo DiCaprio,Y,Actor,2015
182,Bryan Cranston,N,Actor,2015
183,Matt Damon,N,Actor,2015
184,Michael Fassbender,N,Actor,2015
185,Eddie Redmayne,N,Actor,2015
186,Brie Larson,Y,Actress,2015
187,Cate Blanchett,N,Actress,2015
188,Jennifer Lawrence,N,Actress,2015
189,Charlotte Rampling,N,Actress,2015
190,Saoirse Ronan,N,Actress,2015
191,Mark Rylance,Y,Supporting Actor,2015
192,Christian Bale,N,Supporting Actor,2015
193,Tom Hardy,N,Supporting Actor,2015
194,Mark Ruffalo,N,Supporting Actor,2015
195,Sylvester Stallone,N,Supporting Actor,2015
196,Alicia Vikander,Y,Supporting Actress,2015
197,Jennifer Jason Leigh,N,Supporting Actress,2015
198,Rooney Mara,N,Supporting Actress,2015
199,Rachel McAdams,N,Supporting Actress,2015
200,Kate Winslet,N,Supporting Actress,2015
201,Birdman,Y,Picture,2014
202,American Sniper,N,Picture,2014
203,Boyhood,N,Picture,2014
204,Selma,N,Picture,2014
205,The Grand Budapest Hotel,N,Picture,2014
206,The Imitation Game,N,Picture,2014
207,The Theory of Everything,N,Picture,2014
208,Whiplash,N,Picture,2014
209,Eddie Redmayne,Y,Actor,2014
210,Benedict Cumberbatch,N,Actor,2014
211,Bradley Cooper,N,Actor,2014
212,Michael Keaton,N,Actor,2014
213,Steve Carell,N,Actor,2014
214,Julianne Moore,Y,Actress,2014
215,Felicity Jones,N,Actress,2014
216,Marion Cotillard,N,Actress,2014
217,Reese Witherspoon,N,Actress,2014
218,Rosamund Pike,N,Actress,2014
219,J.K. Simmons,Y,Supporting Actor,2014
220,Edward Norton,N,Supporting Actor,2014
221,Ethan Hawke,N,Supporting Actor,2014
222,Mark Ruffalo,N,Supporting Actor,2014
223,Robert Duvall,N,Supporting Actor,2014
224,Patricia Arquette,Y,Supporting Actress,2014
225,Emma Stone,N,Supporting Actress,2014
226,Keira Knightley,N,Supporting Actress,2014
227,Laura Dern,N,Supporting Actress,2014
228,Meryl Streep,N,Supporting Actress,2014
229,12 Years a Slave,Y,Picture,2013
230,American Hustle,N,Picture,2013
231,Captain Phillips,N,Picture,2013
232,Dallas Buyers Club,N,Picture,2013
233,Gravity,N,Picture,2013
234,Her,N,Picture,2013
235,Nebraska,N,Picture,2013
236,Philomena,N,Picture,2013
237,The Wolf of Wall Street,N,Picture,2013
238,Matthew McConaughey,Y,Actor,2013
239,Christian Bale,N,Actor,2013
240,Bruce Dern,N,Actor,2013
241,Leonardo DiCaprio,N,Actor,2013
242,Chiwetel Ejiofor,N,Actor,2013
243,Cate Blanchett,Y,Actress,2013
244,Amy Adams,N,Actress,2013
245,Sandra Bullock,N,Actress,2013
246,Judi Dench,N,Actress,2013
247,Meryl Streep,N,Actress,2013
248,Jared Leto,Y,Supporting Actor,2013
249,Barkhad Abdi,N,Supporting Actor,2013
250,Bradley Cooper,N,Supporting Actor,2013
251,Michael Fassbender,N,Supporting Actor,2013
252,Jonah Hill,N,Supporting Actor,2013
253,Lupita Nyong'o,Y,Supporting Actress,2013
254,Sally Hawkins,N,Supporting Actress,2013
255,Jennifer Lawrence,N,Supporting Actress,2013
256,Julia Roberts,N,Supporting Actress,2013
257,June Squibb,N,Supporting Actress,2013
258,Amour,N,Picture,2012
259,Argo,Y,Picture,2012
260,Beasts of the Southern Wild,N,Picture,2012
261,Django Unchained,N,Picture,2012
262,Les Misérables,N,Picture,2012
263,Life of Pi,N,Picture,2012
264,Lincoln,N,Picture,2012
265,Silver Linings Playbook,N,Picture,2012
266,Zero Dark Thirty,N,Picture,2012
267,Bradley Cooper,N,Actor,2012
268,Daniel Day-Lewis,Y,Actor,2012
269,Hugh Jackman,N,Actor,2012
270,Joaquin Phoenix,N,Actor,2012
271,Denzel Washington,N,Actor,2012
272,Jessica Chastain,N,Actress,2012
273,Jennifer Lawrence,Y,Actress,2012
274,Emmanuelle Riva,N,Actress,2012
275,Quvenzhané Wallis,N,Actress,2012
276,Naomi Watts,N,Actress,2012
277,Alan Arkin,N,Supporting Actor,2012
278,Robert De Niro,N,Supporting Actor,2012
279,Philip Seymour Hoffman,N,Supporting Actor,2012
280,Tommy Lee Jones,N,Supporting Actor,2012
281,Christoph Waltz,Y,Supporting Actor,2012
282,Amy Adams,N,Supporting Actress,2012
283,Sally Field,N,Supporting Actress,2012
284,Anne Hathaway,Y,Supporting Actress,2012
285,Helen Hunt,N,Supporting Actress,2012
286,Jacki Weaver,N,Supporting Actress,2012
287,The Artist,Y,Picture,2011
288,Extremely Loud and Incredibly Close,N,Picture,2011
289,Hugo,N,Picture,2011
290,Midnight in Paris,N,Picture,2011
291,Moneyball,N,Picture,2011
292,The Descendants,N,Picture,2011
293,The Help,N,Picture,2011
294,The Tree of Life,N,Picture,2011
295,War Horse,N,Picture,2011
296,Jean Dujardin,Y,Actor,2011
297,Demian Bichir,N,Actor,2011
298,George Clooney,N,Actor,2011
299,Gary Oldman,N,Actor,2011
300,Brad Pitt,N,Actor,2011
301,Meryl Streep,Y,Actress,2011
302,Glenn Close,N,Actress,2011
303,Viola Davis,N,Actress,2011
304,Rooney Mara,N,Actress,2011
305,Michelle Williams,N,Actress,2011
306,Christopher Plummer,Y,Supporting Actor,2011
307,Kenneth Branagh,N,Supporting Actor,2011
308,Jonah Hill,N,Supporting Actor,2011
309,Nick Nolte,N,Supporting Actor,2011
310,Max von Sydow,N,Supporting Actor,2011
311,Octavia Spencer,Y,Supporting Actress,2011
312,Bérénice Bejo,N,Supporting Actress,2011
313,Jessica Chastain,N,Supporting Actress,2011
314,Melissa McCarthy,N,Supporting Actress,2011
315,Janet McTeer,N,Supporting Actress,2011
316,The King's Speech,Y,Picture,2010
317,127 Hours,N,Picture,2010
318,Black Swan,N,Picture,2010
319,Inception,N,Picture,2010
320,The Fighter,N,Picture,2010
321,The Kids Are All Right,N,Picture,2010
322,The Social Network,N,Picture,2010
323,Toy Story 3,N,Picture,2010
324,True Grit,N,Picture,2010
325,Winter's Bone,N,Picture,2010
326,Colin Firth,Y,Actor,2010
327,Javier Bardem,N,Actor,2010
328,Jeff Bridges,N,Actor,2010
329,Jesse Eisenberg,N,Actor,2010
330,James Franco,N,Actor,2010
331,Natalie Portman,Y,Actress,2010
332,Annette Bening,N,Actress,2010
333,Nicole Kidman,N,Actress,2010
334,Jennifer Lawrence,N,Actress,2010
335,Michelle Williams,N,Actress,2010
336,Christian Bale,Y,Supporting Actor,2010
337,John Hawkes,N,Supporting Actor,2010
338,Jeremy Renner,N,Supporting Actor,2010
339,Mark Ruffalo,N,Supporting Actor,2010
340,Geoffrey Rush,N,Supporting Actor,2010
341,Melissa Leo,Y,Supporting Actress,2010
342,Amy Adams,N,Supporting Actress,2010
343,Helena Bonham Carter,N,Supporting Actress,2010
344,Hailee Steinfeld,N,Supporting Actress,2010
345,Jacki Weaver,N,Supporting Actress,2010
346,The Hurt Locker,Y,Picture,2009
347,A Serious Man,N,Picture,2009
348,An Education,N,Picture,2009
349,Avatar,N,Picture,2009
350,District 9,N,Picture,2009
351,Inglourious Basterds,N,Picture,2009
352,Precious,N,Picture,2009
353,The Blind Side,N,Picture,2009
354,Up,N,Picture,2009
355,Up in the Air,N,Picture,2009
356,Jeff Bridges,Y,Actor,2009
357,George Clooney,N,Actor,2009
358,Colin Firth,N,Actor,2009
359,Morgan Freeman,N,Actor,2009
360,Jeremy Renner,N,Actor,2009
361,Sandra Bullock,Y,Actress,2009
362,Helen Mirren,N,Actress,2009
363,Carey Mulligan,N,Actress,2009
364,Gabourey Sidibe,N,Actress,2009
365,Meryl Streep,N,Actress,2009
366,Christoph Waltz,Y,Supporting Actor,2009
367,Matt Damon,N,Supporting Actor,2009
368,Woody Harrelson,N,Supporting Actor,2009
369,Christopher Plummer,N,Supporting Actor,2009
370,Stanley Tucci,N,Supporting Actor,2009
371,Mo'Nique,Y,Supporting Actress,2009
372,Penélope Cruz,N,Supporting Actress,2009
373,Vera Farmiga,N,Supporting Actress,2009
374,Maggie Gyllenhaal,N,Supporting Actress,2009
375,Anna Kendrick,N,Supporting Actress,2009
376,Slumdog Millionaire,Y,Picture,2008
377,Frost/Nixon,N,Picture,2008
378,Milk,N,Picture,2008
379,The Curious Case of Benjamin Button,N,Picture,2008
380,The Reader,N,Picture,2008
381,Sean Penn,Y,Actor,2008
382,Richard Jenkins,N,Actor,2008
383,Frank Langella,N,Actor,2008
384,Brad Pitt,N,Actor,2008
385,Mickey Rourke,N,Actor,2008
386,Kate Winslet,Y,Actress,2008
387,Anne Hathaway,N,Actress,2008
388,Angelina Jolie,N,Actress,2008
389,Melissa Leo,N,Actress,2008
390,Meryl Streep,N,Actress,2008
391,Heath Ledger,Y,Supporting Actor,2008
392,Josh Brolin,N,Supporting Actor,2008
393,"Robert Downey, Jr.",N,Supporting Actor,2008
394,Philip Seymour Hoffman,N,Supporting Actor,2008
395,Michael Shannon,N,Supporting Actor,2008
396,Penélope Cruz,Y,Supporting Actress,2008
397,Amy Adams,N,Supporting Actress,2008
398,Viola Davis,N,Supporting Actress,2008
399,Taraji P. Henson,N,Supporting Actress,2008
400,Marisa Tomei,N,Supporting Actress,2008
401,No Country for Old Men,Y,Picture,2007
402,Atonement,N,Picture,2007
403,Juno,N,Picture,2007
404,Michael Clayton,N,Picture,2007
405,There Will Be Blood,N,Picture,2007
406,Daniel Day-Lewis,Y,Actor,2007
407,George Clooney,N,Actor,2007
408,Johnny Depp,N,Actor,2007
409,Tommy Lee Jones,N,Actor,2007
410,Viggo Mortensen,N,Actor,2007
411,Marion Cotillard,Y,Actress,2007
412,Cate Blanchett,N,Actress,2007
413,Julie Christie,N,Actress,2007
414,Laura Linney,N,Actress,2007
415,Ellen Page,N,Actress,2007
416,Javier Bardem,Y,Supporting Actor,2007
417,Casey Affleck,N,Supporting Actor,2007
418,Philip Seymour Hoffman,N,Supporting Actor,2007
419,Hal Holbrook,N,Supporting Actor,2007
420,Tom Wilkinson,N,Supporting Actor,2007
421,Tilda Swinton,Y,Supporting Actress,2007
422,Cate Blanchett,N,Supporting Actress,2007
423,Ruby Dee,N,Supporting Actress,2007
424,Saoirse Ronan,N,Supporting Actress,2007
425,Amy Ryan,N,Supporting Actress,2007
426,The Departed,Y,Picture,2006
427,Babel,N,Picture,2006
428,Letters from Iwo Jima,N,Picture,2006
429,Little Miss Sunshine,N,Picture,2006
430,The Queen,N,Picture,2006
431,Forest Whitaker,Y,Actor,2006
432,Leonardo DiCaprio,N,Actor,2006
433,Ryan Gosling,N,Actor,2006
434,Peter O'Toole,N,Actor,2006
435,Will Smith,N,Actor,2006
436,Helen Mirren,Y,Actress,2006
437,Penélope Cruz,N,Actress,2006
438,Judi Dench,N,Actress,2006
439,Meryl Streep,N,Actress,2006
440,Kate Winslet,N,Actress,2006
441,Alan Arkin,Y,Supporting Actor,2006
442,Jackie Earle Haley,N,Supporting Actor,2006
443,Djimon Hounsou,N,Supporting Actor,2006
444,Eddie Murphy,N,Supporting Actor,2006
445,Mark Wahlberg,N,Supporting Actor,2006
446,Jennifer Hudson,Y,Supporting Actress,2006
447,Adriana Barraza,N,Supporting Actress,2006
448,Cate Blanchett,N,Supporting Actress,2006
449,Abigail Breslin,N,Supporting Actress,2006
450,Rinko Kikuchi,N,Supporting Actress,2006
451,Crash,Y,Picture,2005
452,Brokeback Mountain,N,Picture,2005
453,Capote,N,Picture,2005
454,"Good Night, and Good Luck",N,Picture,2005
455,Munich,N,Picture,2005
456,Philip Seymour Hoffman,Y,Actor,2005
457,Terrence Howard,N,Actor,2005
458,Heath Ledger,N,Actor,2005
459,Joaquin Phoenix,N,Actor,2005
460,David Strathairn,N,Actor,2005
461,Reese Witherspoon,Y,Actress,2005
462,Judi Dench,N,Actress,2005
463,Felicity Huffman,N,Actress,2005
464,Keira Knightley,N,Actress,2005
465,Charlize Theron,N,Actress,2005
466,George Clooney,Y,Supporting Actor,2005
467,Matt Dillon,N,Supporting Actor,2005
468,Paul Giamatti,N,Supporting Actor,2005
469,Jake Gyllenhaal,N,Supporting Actor,2005
470,William Hurt,N,Supporting Actor,2005
471,Rachel Weisz,Y,Supporting Actress,2005
472,Amy Adams,N,Supporting Actress,2005
473,Catherine Keener,N,Supporting Actress,2005
474,Frances McDormand,N,Supporting Actress,2005
475,Michelle Williams,N,Supporting Actress,2005
476,Million Dollar Baby,Y,Picture,2004
477,Finding Neverland,N,Picture,2004
478,Ray,N,Picture,2004
479,Sideways,N,Picture,2004
480,The Aviator,N,Picture,2004
481,Jamie Foxx,Y,Actor,2004
482,Don Cheadle,N,Actor,2004
483,Johnny Depp,N,Actor,2004
484,Leonardo DiCaprio,N,Actor,2004
485,Clint Eastwood,N,Actor,2004
486,Hilary Swank,Y,Actress,2004
487,Annette Bening,N,Actress,2004
488,Catalina Sandino Moreno,N,Actress,2004
489,Imelda Staunton,N,Actress,2004
490,Kate Winslet,N,Actress,2004
491,Morgan Freeman,Y,Supporting Actor,2004
492,Alan Alda,N,Supporting Actor,2004
493,Thomas Haden Church,N,Supporting Actor,2004
494,Jamie Foxx,N,Supporting Actor,2004
495,Clive Owen,N,Supporting Actor,2004
496,Cate Blanchett,Y,Supporting Actress,2004
497,Laura Linney,N,Supporting Actress,2004
498,Virginia Madsen,N,Supporting Actress,2004
499,Sophie Okonedo,N,Supporting Actress,2004
500,Natalie Portman,N,Supporting Actress,2004
501,The Lord of the Rings: The Return of the King,Y,Picture,2003
502,Lost in Translation,N,Picture,2003
503,Master and Commander: The Far Side of the World,N,Picture,2003
504,Mystic River,N,Picture,2003
505,Seabiscuit,N,Picture,2003
506,Sean Penn,Y,Actor,2003
507,Johnny Depp,N,Actor,2003
508,Ben Kingsley,N,Actor,2003
509,Jude Law,N,Actor,2003
510,Bill Murray,N,Actor,2003
511,Charlize Theron,Y,Actress,2003
512,Keisha Castle-Hughes,N,Actress,2003
513,Diane Keaton,N,Actress,2003
514,Samantha Morton,N,Actress,2003
515,Naomi Watts,N,Actress,2003
516,Tim Robbins,Y,Supporting Actor,2003
517,Alec Baldwin,N,Supporting Actor,2003
518,Benicio del Toro,N,Supporting Actor,2003
519,Djimon Hounsou,N,Supporting Actor,2003
520,Ken Watanabe,N,Supporting Actor,2003
521,Renée Zellweger,Y,Supporting Actress,2003
522,Shohreh Aghdashloo,N,Supporting Actress,2003
523,Patricia Clarkson,N,Supporting Actress,2003
524,Marcia Gay Harden,N,Supporting Actress,2003
525,Holly Hunter,N,Supporting Actress,2003
526,Chicago,Y,Picture,2002
527,Gangs of New York,N,Picture,2002
528,The Hours,N,Picture,2002
529,The Lord of the Rings: The Two Towers,N,Picture,2002
530,The Pianist,N,Picture,2002
531,Adrien Brody,Y,Actor,2002
532,Nicolas Cage,N,Actor,2002
533,Michael Caine,N,Actor,2002
534,Daniel Day-Lewis,N,Actor,2002
535,Jack Nicholson,N,Actor,2002
536,Nicole Kidman,Y,Actress,2002
537,Salma Hayek,N,Actress,2002
538,Diane Lane,N,Actress,2002
539,Julianne Moore,N,Actress,2002
540,Renée Zellweger,N,Actress,2002
541,Chris Cooper,Y,Supporting Actor,2002
542,Ed Harris,N,Supporting Actor,2002
543,Paul Newman,N,Supporting Actor,2002
544,John C. Reilly,N,Supporting Actor,2002
545,Christopher Walken,N,Supporting Actor,2002
546,Catherine Zeta-Jones,Y,Supporting Actress,2002
547,Kathy Bates,N,Supporting Actress,2002
548,Queen Latifah,N,Supporting Actress,2002
549,Julianne Moore,N,Supporting Actress,2002
550,Meryl Streep,N,Supporting Actress,2002
551,A Beautiful Mind,Y,Picture,2001
552,Gosford Park,N,Picture,2001
553,In the Bedroom,N,Picture,2001
554,Moulin Rouge!,N,Picture,2001
555,The Lord of the Rings: The Fellowship of the Ring,N,Picture,2001
556,Denzel Washington,Y,Actor,2001
557,Russell Crowe,N,Actor,2001
558,Sean Penn,N,Actor,2001
559,Will Smith,N,Actor,2001
560,Tom Wilkinson,N,Actor,2001
561,Halle Berry,Y,Actress,2001
562,Judi Dench,N,Actress,2001
563,Nicole Kidman,N,Actress,2001
564,Sissy Spacek,N,Actress,2001
565,Renée Zellweger,N,Actress,2001
566,Jim Broadbent,Y,Supporting Actor,2001
567,Ethan Hawke,N,Supporting Actor,2001
568,Ben Kingsley,N,Supporting Actor,2001
569,Ian McKellen,N,Supporting Actor,2001
570,Jon Voight,N,Supporting Actor,2001
571,Jennifer Connelly,Y,Supporting Actress,2001
572,Helen Mirren,N,Supporting Actress,2001
573,Maggie Smith,N,Supporting Actress,2001
574,Marisa Tomei,N,Supporting Actress,2001
575,Kate Winslet,N,Supporting Actress,2001
576,Gladiator,Y,Picture,2000
577,Chocolat,N,Picture,2000
578,"Crouching Tiger, Hidden Dragon",N,Picture,2000
579,Erin Brockovich,N,Picture,2000
580,Traffic,N,Picture,2000
581,Russell Crowe,Y,Actor,2000
582,Javier Bardem,N,Actor,2000
583,Tom Hanks,N,Actor,2000
584,Ed Harris,N,Actor,2000
585,Geoffrey Rush,N,Actor,2000
586,Julia Roberts,Y,Actress,2000
587,Joan Allen,N,Actress,2000
588,Juliette Binoche,N,Actress,2000
589,Ellen Burstyn,N,Actress,2000
590,Laura Linney,N,Actress,2000
591,Benicio del Toro,Y,Supporting Actor,2000
592,Jeff Bridges,N,Supporting Actor,2000
593,Willem Dafoe,N,Supporting Actor,2000
594,Albert Finney,N,Supporting Actor,2000
595,Joaquin Phoenix,N,Supporting Actor,2000
596,Marcia Gay Harden,Y,Supporting Actress,2000
597,Judi Dench,N,Supporting Actress,2000
598,Kate Hudson,N,Supporting Actress,2000
599,Frances McDormand,N,Supporting Actress,2000
600,Julie Walters,N,Supporting Actress,2000
601,American Beauty,Y,Picture,1999
602,The Cider House Rules,N,Picture,1999
603,The Green Mile,N,Picture,1999
604,The Insider,N,Picture,1999
605,The Sixth Sense,N,Picture,1999
606,Kevin Spacey,Y,Actor,1999
607,Russell Crowe,N,Actor,1999
608,Richard Farnsworth,N,Actor,1999
609,Sean Penn,N,Actor,1999
610,Denzel Washington,N,Actor,1999
611,Hilary Swank,Y,Actress,1999
612,Annette Bening,N,Actress,1999
613,Janet McTeer,N,Actress,1999
614,Julianne Moore,N,Actress,1999
615,Meryl Streep,N,Actress,1999
616,Michael Caine,Y,Supporting Actor,1999
617,Tom Cruise,N,Supporting Actor,1999
618,Michael Clarke Duncan,N,Supporting Actor,1999
619,Jude Law,N,Supporting Actor,1999
620,Haley Joel Osment,N,Supporting Actor,1999
621,Angelina Jolie,Y,Supporting Actress,1999
622,Toni Collette,N,Supporting Actress,1999
623,Catherine Keener,N,Supporting Actress,1999
624,Samantha Morton,N,Supporting Actress,1999
625,Chloë Sevigny,N,Supporting Actress,1999
626,Shakespeare in Love,Y,Picture,1998
627,Elizabeth,N,Picture,1998
628,Life Is Beautiful,N,Picture,1998
629,Saving Private Ryan,N,Picture,1998
630,The Thin Red Line,N,Picture,1998
631,Roberto Benigni,Y,Actor,1998
632,Tom Hanks,N,Actor,1998
633,Ian McKellen,N,Actor,1998
634,Nick Nolte,N,Actor,1998
635,Edward Norton,N,Actor,1998
636,Gwyneth Paltrow,Y,Actress,1998
637,Cate Blanchett,N,Actress,1998
638,Fernanda Montenegro,N,Actress,1998
639,Meryl Streep,N,Actress,1998
640,Emily Watson,N,Actress,1998
641,James Coburn,Y,Supporting Actor,1998
642,Robert Duvall,N,Supporting Actor,1998
643,Ed Harris,N,Supporting Actor,1998
644,Geoffrey Rush,N,Supporting Actor,1998
645,Billy Bob Thornton,N,Supporting Actor,1998
646,Judi Dench,Y,Supporting Actress,1998
647,Kathy Bates,N,Supporting Actress,1998
648,Brenda Blethyn,N,Supporting Actress,1998
649,Rachel Griffiths,N,Supporting Actress,1998
650,Lynn Redgrave,N,Supporting Actress,1998
651,Titanic,Y,Picture,1997
652,As Good as It Gets,N,Picture,1997
653,Good Will Hunting,N,Picture,1997
654,L.A. Confidential,N,Picture,1997
655,The Full Monty,N,Picture,1997
656,Jack Nicholson,Y,Actor,1997
657,Matt Damon,N,Actor,1997
658,Robert Duvall,N,Actor,1997
659,Peter Fonda,N,Actor,1997
660,Dustin Hoffman,N,Actor,1997
661,Helen Hunt,Y,Actress,1997
662,Helena Bonham Carter,N,Actress,1997
663,Julie Christie,N,Actress,1997
